OBJECTID,GEO_ID_TRT,TRACT_LBL,E19113069,M19113069
308,53033030311,Tract 030311,83571,8367
309,53033030312,Tract 030312,67868,11522
310,53033030313,Tract 030313,49443,6455
311,53033030314,Tract 030314,62132,7710
312,53033030401,Tract 030401,73583,15986
313,53033030403,Tract 030403,91042,24031
314,53033030404,Tract 030404,102803,12080
315,53033030501,Tract 030501,43088,10774
316,53033030503,Tract 030503,65000,16498
317,53033030504,Tract 030504,61054,7103
318,53033030600,Tract 030600,68115,11731
319,53033030700,Tract 030700,53776,9477
320,53033030801,Tract 030801,39978,4496
321,53033030802,Tract 030802,53375,12769
322,53033030901,Tract 030901,61196,13098
323,53033030902,Tract 030902,56701,6007
324,53033031000,Tract 031000,111181,11609
325,53033031100,Tract 031100,68750,7728
326,53033031202,Tract 031202,94917,24101
327,53033031204,Tract 031204,105234,18235
328,53033031205,Tract 031205,91484,16502
329,53033031206,Tract 031206,72028,9908
330,53033031301,Tract 031301,81364,18500
331,53033031302,Tract 031302,74127,15943
332,53033031400,Tract 031400,59191,22082
333,53033031501,Tract 031501,94669,14282
334,53033031502,Tract 031502,100473,12597
335,53033031601,Tract 031601,111776,9333
336,53033031603,Tract 031603,109125,23645
337,53033031604,Tract 031604,96682,4299
338,53033031605,Tract 031605,106172,19758
339,53033031703,Tract 031703,98333,9097
340,53033031704,Tract 031704,94762,12491
341,53033031705,Tract 031705,109554,17517
342,53033031706,Tract 031706,95133,7152
343,53033031800,Tract 031800,110583,12079
344,53033031903,Tract 031903,109301,14865
345,53033031904,Tract 031904,104844,17910
346,53033031906,Tract 031906,118462,22273
347,53033031907,Tract 031907,105379,7048
348,53033031908,Tract 031908,78015,21017
349,53033031909,Tract 031909,111528,16365
350,53033032002,Tract 032002,99216,7891
351,53033032003,Tract 032003,106667,12941
352,53033032005,Tract 032005,93203,7767
353,53033032006,Tract 032006,102350,7433
354,53033032007,Tract 032007,116506,15685
355,53033032008,Tract 032008,94613,7741
356,53033032010,Tract 032010,121696,20521
357,53033032011,Tract 032011,124185,14914
358,53033032102,Tract 032102,125577,14486
359,53033032103,Tract 032103,76359,17508
360,53033032104,Tract 032104,135218,20716
361,53033032203,Tract 032203,152332,14062
362,53033032207,Tract 032207,163000,26398
363,53033032208,Tract 032208,127148,16803
364,53033032210,Tract 032210,139094,25314
365,53033032211,Tract 032211,153814,8665
366,53033032212,Tract 032212,150469,24174
367,53033032213,Tract 032213,180809,27162
368,53033032214,Tract 032214,177284,10340
369,53033032215,Tract 032215,208056,13502
370,53033032307,Tract 032307,144946,19190
371,53033032309,Tract 032309,140101,32741
372,53033032311,Tract 032311,148281,40271
373,53033032313,Tract 032313,112014,15982
374,53033032315,Tract 032315,154574,11472
375,53033032316,Tract 032316,180094,21379
376,53033032317,Tract 032317,176950,15177
377,53033032318,Tract 032318,176042,15797
378,53033032319,Tract 032319,116042,27816
379,53033032320,Tract 032320,181250,21338
380,53033032321,Tract 032321,212961,23197
381,53033032322,Tract 032322,173413,17868
382,53033032323,Tract 032323,151786,18370
383,53033032324,Tract 032324,126923,19605
384,53033032325,Tract 032325,115170,17527
385,53033032326,Tract 032326,210327,17864
386,53033032327,Tract 032327,113807,7312
387,53033032328,Tract 032328,153750,42935
388,53033032329,Tract 032329,173940,16980
389,53033032401,Tract 032401,150500,39645
390,53033032402,Tract 032402,154766,15552
391,53033032500,Tract 032500,122895,15441
392,53033032601,Tract 032601,109828,20863
393,53033032602,Tract 032602,153611,13818
394,53033032702,Tract 032702,105469,6268
395,53033032703,Tract 032703,103417,17296
396,53033032704,Tract 032704,111186,14401
397,53033032800,Tract 032800,110500,21408
398,53033990100,Tract 990100,,
